"EFN","Phy","matched_name","RangeY","domY","mycoY"
1,"Albizia coreana","Albizia coreana",FALSE,FALSE,FALSE
1,"Albizia corniculata","Albizia corniculata",FALSE,FALSE,FALSE
1,"Albizia falcataria","Albizia falcataria",FALSE,FALSE,FALSE
1,"Albizia guachapele","Albizia guachapele",TRUE,FALSE,FALSE
1,"Albizia idiopoda","Albizia idiopoda",FALSE,FALSE,FALSE
1,"Albizia julibrissin","Albizia julibrissin",TRUE,FALSE,TRUE
1,"Albizia lebbeck","Albizia lebbeck",TRUE,FALSE,TRUE
1,"Albizia lebbekoides","Albizia lebbekoides",TRUE,FALSE,FALSE
1,"Albizia lophantha","Albizia lophantha",FALSE,FALSE,FALSE
1,"Albizia moluccana","Albizia moluccana",FALSE,FALSE,FALSE
1,"Albizia pedicellata","Albizia pedicellata",FALSE,FALSE,FALSE
1,"Albizia procera","Albizia procera",TRUE,FALSE,FALSE
1,"Albizia retusa","Albizia retusa",TRUE,FALSE,FALSE
1,"Albizia saponaria","Albizia saponaria",TRUE,FALSE,FALSE
1,"Albizia stipulata","Albizia stipulata",FALSE,FALSE,FALSE
1,"Alexa canaracuensis","Alexa canaracunensis",FALSE,FALSE,FALSE
1,"Alexa grandiflora","Alexa grandiflora",TRUE,FALSE,FALSE
1,"Alexa wachenheimii","Alexa wachenheimii",TRUE,FALSE,FALSE
1,"Anadenanthera colubrina","Anadenanthera colubrina",TRUE,FALSE,TRUE
1,"Anadenanthera falcata","Anadenanthera falcata",FALSE,FALSE,FALSE
1,"Apios americana","Apios americana",TRUE,FALSE,FALSE
1,"Archidendron bubalinum","Archidendron bubalinum",TRUE,FALSE,FALSE
1,"Archidendron calycinum","Archidendron calycinum",FALSE,FALSE,FALSE
1,"Archidendron dypearia",NA,FALSE,FALSE,FALSE
1,"Archidendron globosum","Archidendron globosum",FALSE,FALSE,FALSE
1,"Archidendron kerrii","Archidendron kerrii",FALSE,FALSE,FALSE
1,"Archidendron lucidum","Archidendron lucidum",TRUE,FALSE,FALSE
1,"Archidendron macrocarpum","Archidendron microcarpum",FALSE,FALSE,FALSE
1,"Archidendron ramiflorum","Archidendron ramiflorum",FALSE,FALSE,FALSE
1,"Archidendron utile","Archidendron utile",TRUE,FALSE,FALSE
1,"Arthrosamanea altissima","Arthrosamanea altissima",FALSE,FALSE,FALSE
1,"Balizia peticilaris","Balizia pedicellaris",FALSE,FALSE,FALSE
1,"Baptisia leucophylla","Baptisia leucophaea",FALSE,FALSE,FALSE
1,"Bauhinia blakeana","Bauhinia blakeana",FALSE,FALSE,FALSE
1,"Bauhinia cheilantha","Bauhinia cheilantha",FALSE,FALSE,FALSE
1,"Bauhinia pauletia","Bauhinia pauletia",TRUE,FALSE,FALSE
1,"Bauhinia rufa","Bauhinia rufa",TRUE,FALSE,FALSE
1,"Bauhinia ungulata","Bauhinia ungulata",TRUE,FALSE,FALSE
1,"Brownea grandiceps","Brownea grandiceps",FALSE,FALSE,FALSE
1,"Brownea macrophylla","Brownea macrophylla",FALSE,FALSE,FALSE
1,"Caesalpinia bondoc","Caesalpinia bonduc",FALSE,FALSE,FALSE
1,"Caesalpinia crista","Caesalpinia crista",TRUE,FALSE,FALSE
1,"Caesalpinia cucullatum","Caesalpinia cucullata",FALSE,FALSE,FALSE
1,"Caesalpinia gilliesii","Caesalpinia gilliesii",TRUE,FALSE,FALSE
1,"Caesalpinia japonica","Caesalpinia japonica",FALSE,FALSE,FALSE
1,"Calliandra haematomma","Calliandra haematomma",TRUE,FALSE,FALSE
1,"Calopogonium caeruleum","Calopogonium caeruleum",TRUE,FALSE,TRUE
1,"Canavalia gladiata","Canavalia gladiata",TRUE,FALSE,FALSE
1,"Canavalia lineata","Canavalia lineata",TRUE,FALSE,FALSE
1,"Canavalia maritima","Canavalia maritima",FALSE,FALSE,FALSE
1,"Canavalia rosea","Canavalia rosea",TRUE,FALSE,TRUE
1,"Cassia absus","Cassia absus",FALSE,FALSE,FALSE
1,"Cassia acutifolia","Cassia acutifolia",FALSE,FALSE,FALSE
1,"Cassia alata","Cassia alata",FALSE,FALSE,FALSE
1,"Cassia apoucouita","Cassia apoucouita",FALSE,FALSE,FALSE
1,"Cassia artemisioides","Cassia artemisioides",FALSE,FALSE,FALSE
1,"Cassia atroglandulosa","Cassia atroglandulosa",FALSE,FALSE,FALSE
1,"Cassia auriculata","Cassia auriculata",FALSE,FALSE,FALSE
1,"Cassia bacillaris","Cassia bacillaris",FALSE,FALSE,FALSE
