Name,Phy,EFN
Aptinoma mangabe,Aptinoma_mangabe,0
Asphinctopone pilosa,Asphinctopone_pilosa,0
Atopomyrmex mocquerysi,Atopomyrmex_mocquerysi,0
Atta bisphaerica,Atta_bisphaerica,0
Atta capiguara,Atta_capiguara,0
Atta cephalotes,Atta_cephalotes,0
Atta colombica,Atta_colombica,0
Atta cubana,Atta_cubana,0
Atta fervens,Atta_fervens,0
Atta insularis,Atta_insularis,0
Atta laevigata,Atta_laevigata,0
Atta mexicana,Atta_mexicana,0
Atta opaciceps,Atta_opaciceps,0
Atta robusta,Atta_robusta,0
Atta sexdens,Atta_sexdens,0
Atta tardigrada,Atta_tardigrada,0
Atta texana,Atta_texana,0
Atta vollenweideri,Atta_vollenweideri,0
Austromorium flavigaster,Austromorium_flavigaster,0
Austromorium hetericki,Austromorium_hetericki,0
Azteca alfari,Azteca_alfari,0
Azteca andreae,Azteca_andreae,0
Azteca aurita,Azteca_aurita,0
Azteca australis,Azteca_australis,0
Azteca barbifex,Azteca_barbifex,0
Azteca beltii,Azteca_beltii,0
Azteca bequaerti,Azteca_bequaerti,0
Azteca brevicornis,Azteca_brevicornis,0
Azteca brevis,Azteca_brevis,0
Azteca chartifex,Azteca_chartifex,0
Azteca constructor,Azteca_constructor,0
Azteca cordincola,Azteca_cordincola,0
Azteca delpini,Azteca_delpini,0
Azteca diabolica,Azteca_diabolica,0
Azteca fasciata,Azteca_fasciata,0
Azteca instabilis,Azteca_instabilis,0
Azteca isthmica,Azteca_isthmica,0
Azteca juruensis,Azteca_juruensis,0
Azteca laurae,Azteca_laurae,0
Azteca linamariae,Azteca_linamariae,0
Azteca longiceps,Azteca_longiceps,0
Azteca muelleri,Azteca_muelleri,0
Azteca nigricans,Azteca_nigricans,0
Azteca oecocordia,Azteca_oecocordia,0
Azteca ovaticeps,Azteca_ovaticeps,0
Azteca pittieri,Azteca_pittieri,0
Azteca salti,Azteca_salti,0
Azteca sapii,Azteca_sapii,0
Azteca schimperi,Azteca_schimperi,0
Azteca sericeasur,Azteca_sericeasur,0
Azteca snellingi,Azteca_snellingi,0
Azteca trigona,Azteca_trigona,0
Azteca ulei,Azteca_ulei,0
Azteca velox,Azteca_velox,0
Azteca xanthochroa,Azteca_xanthochroa,0
Bannapone mulanae,Bannapone_mulanae,0
Baracidris meketra,Baracidris_meketra,0
Basiceros manni,Basiceros_manni,0
Blepharidatta brasiliensis,Blepharidatta_brasiliensis,0
Blepharidatta conops,Blepharidatta_conops,0
Bothriomyrmex anastasiae,Bothriomyrmex_anastasiae,0
Bothriomyrmex atlantis,Bothriomyrmex_atlantis,0
Bothriomyrmex communistus,Bothriomyrmex_communistus,0
Bothriomyrmex corsicus,Bothriomyrmex_corsicus,0
Bothriomyrmex decapitans,Bothriomyrmex_decapitans,0
Bothriomyrmex kusnezovi,Bothriomyrmex_kusnezovi,0
Bothriomyrmex meridionalis,Bothriomyrmex_meridionalis,0
Bothriomyrmex paradoxus,Bothriomyrmex_paradoxus,0
Bothriomyrmex saundersi,Bothriomyrmex_saundersi,0
Bothriomyrmex syrius,Bothriomyrmex_syrius,0
Bothroponera pumicosa,Bothroponera_pumicosa,0
Bothroponera rubiginosa,Bothroponera_rubiginosa,0
Bothroponera soror,Bothroponera_soror,0
Bothroponera umgodikulula,Bothroponera_umgodikulula,0
Brachymyrmex admotus,Brachymyrmex_admotus,0
Brachymyrmex bruchi,Brachymyrmex_bruchi,0
Brachymyrmex cavernicola,Brachymyrmex_cavernicola,0
Brachymyrmex cordemoyi,Brachymyrmex_cordemoyi,0
Brachymyrmex incisus,Brachymyrmex_incisus,0
Brachymyrmex musculus,Brachymyrmex_musculus,0
Brachymyrmex nebulosus,Brachymyrmex_nebulosus,0
Brachymyrmex pictus,Brachymyrmex_pictus,0
Brachymyrmex santschii,Brachymyrmex_santschii,0
Brachyponera brevidorsa,Brachyponera_brevidorsa,0
Brachyponera chinensis,Brachyponera_chinensis,0
Brachyponera lutea,Brachyponera_lutea,0
Brachyponera luteipes,Brachyponera_luteipes,0
Brachyponera obscurans,Brachyponera_obscurans,0
Brachyponera sennaarensis,Brachyponera_sennaarensis,0
Buniapone amblyops,Buniapone_amblyops,0
Calomyrmex purpureus,Calomyrmex_purpureus,0
Calyptomyrmex beccarii,Calyptomyrmex_beccarii,0
Calyptomyrmex friederikae,Calyptomyrmex_friederikae,0
Calyptomyrmex rectopilosus,Calyptomyrmex_rectopilosus,0
Calyptomyrmex singalensis,Calyptomyrmex_singalensis,0
Calyptomyrmex vedda,Calyptomyrmex_vedda,0
Camponotus aegaeus,Camponotus_aegaeus,0
Camponotus aegyptiacus,Camponotus_aegyptiacus,0
Camponotus aethiops,Camponotus_aethiops,0
Camponotus ager,Camponotus_ager,0
Camponotus albivillosus,Camponotus_albivillosus,0
Camponotus alboannulatus,Camponotus_alboannulatus,0
Camponotus alii,Camponotus_alii,0
Camponotus amaurus,Camponotus_amaurus,0
Camponotus americanus,Camponotus_americanus,0
Camponotus anderseni,Camponotus_anderseni,0
Camponotus annetteae,Camponotus_annetteae,0
Camponotus anthrax,Camponotus_anthrax,0
Camponotus apicalis,Camponotus_apicalis,0
Camponotus arenatus,Camponotus_arenatus,0
Camponotus aruensis,Camponotus_aruensis,0
Camponotus ashokai,Camponotus_ashokai,0
Camponotus asli,Camponotus_asli,0
Camponotus atlantis,Camponotus_atlantis,0
Camponotus atriceps,Camponotus_atriceps,0
Camponotus atricolor,Camponotus_atricolor,0
Camponotus auriventris,Camponotus_auriventris,0
Camponotus aurocinctus,Camponotus_aurocinctus,0
Camponotus aurofasciatus,Camponotus_aurofasciatus,0
Camponotus badius,Camponotus_badius,0
Camponotus baldaccii,Camponotus_baldaccii,0
Camponotus balzani,Camponotus_balzani,0
Camponotus barbaricus,Camponotus_barbaricus,0
Camponotus barbatus,Camponotus_barbatus,0
Camponotus baronii,Camponotus_baronii,0
Camponotus baynei,Camponotus_baynei,0
Camponotus biolleyi,Camponotus_biolleyi,0
Camponotus boghossiani,Camponotus_boghossiani,0
Camponotus brasiliensis,Camponotus_brasiliensis,0
Camponotus breviscapus,Camponotus_breviscapus,0
Camponotus brutus,Camponotus_brutus,0
Camponotus buddhae,Camponotus_buddhae,0
Camponotus bugnioni,Camponotus_bugnioni,0
Camponotus camelinus,Camponotus_camelinus,0
Camponotus cameroni,Camponotus_cameroni,0
Camponotus candiotes,Camponotus_candiotes,0
Camponotus carbonarius,Camponotus_carbonarius,0
Camponotus caryae,Camponotus_caryae,0
Camponotus castaneus,Camponotus_castaneus,0
Camponotus ceriseipes,Camponotus_ceriseipes,0
Camponotus chilensis,Camponotus_chilensis,0
Camponotus chloroticus,Camponotus_chloroticus,0
Camponotus chromaiodes,Camponotus_chromaiodes,0
Camponotus chrysurus,Camponotus_chrysurus,0
Camponotus cinctellus,Camponotus_cinctellus,0
Camponotus cingulatus,Camponotus_cingulatus,0
Camponotus clarithorax,Camponotus_clarithorax,0
Camponotus clypeatus,Camponotus_clypeatus,0
Camponotus compressiscapus,Camponotus_compressiscapus,0
Camponotus congolensis,Camponotus_congolensis,0
Camponotus conicus,Camponotus_conicus,0
Camponotus consobrinus,Camponotus_consobrinus,0
Camponotus conspicuus,Camponotus_conspicuus,0
Camponotus convexiclypeus,Camponotus_convexiclypeus,0
Camponotus cristatus,Camponotus_cristatus,0
Camponotus crozieri,Camponotus_crozieri,0
Camponotus cruentatus,Camponotus_cruentatus,0
